primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,end Date,ending_date,notes,assigned_date
127,Palouse Embryonics,NA,NW 2105 Friel,Pullman,WA,99163,NA,Assigned 06/25/1984,End Date 5/18/2006,2006-05-18,NA,1984-06-25T00:00:00Z
128,"CryovaTech International, Inc.",NA,"Route 5, Box 48, Hwy 35 North",River Falls,WI,54022,715.425.6661,Assigned 09/07/1984,End Date 5/18/2006,2006-05-18,NA,1984-09-07T00:00:00Z
129,"Vogler Semen Centre Lab, Inc.",Vogler Semen Centre,27104 Church Road,Ashland,NE,68003,"402.944.2584, Fax:402.944.2758",Assigned 09/11/1984,NA,NA,Formerly assigned to Semen Centre,1984-09-11T00:00:00Z
130,National Breeding Company,NA,27765 Case Road,Wauconda,IL,60084,312.526.8310,Assigned 11/21/1984;,End Date 5/18/2006,2006-05-18,NA,1984-11-21T00:00:00Z
131,Majestic Bovines,NA,P.O. Box 166,Elberta,UT,84626,801.667.3333,Assigned 01/29/1985,End Date 04/12/2006,2006-04-12,NA,1985-01-29T00:00:00Z
132,Leprechaun Genetics,NA,18116 Garden Valley Road,Marengo,IL,60152,815.568.8398,Assigned 04/09/1985,End Date 5/18/2006,2006-05-18,NA,1985-04-09T00:00:00Z
133,"Dr. Barry Hays, DVM",NA,P.O. Box 877,Shelbyville,KY,40065,502.633.4338,Assigned 05/20/1985,End Date 5/18/2006,2006-05-18,NA,1985-05-20T00:00:00Z
134,Kentucky Bovine Services,NA,"Route 6 Box 2, TJ Road",Leitchfield,KY,42654,NA,Assigned 06/26/1985,End Date 5/18/2006,2006-05-18,NA,1985-06-26T00:00:00Z
135,Southern Genetics,NA,P.O. Box 141,Shady Dale,GA,31085,404.468.2188,Assigned 07/01/1985,NA,NA,NA,1985-07-01T00:00:00Z
136,DJR Collection Service,NA,P.O. Box 446,Irrigon,OR,97844,503.922.4342,Assigned 08/13/1985,End Date 5/18/2006,2006-05-18,NA,1985-08-13T00:00:00Z
137,Nichols Cryo-Genetics,NA,11745 NE 112th Street,Maxwell,IA,50161,"515.967.5311, Fax:515.967.5378",Assigned 07/12/1999,NA,NA,Formerly assigned to Iowa State University,1999-07-12T00:00:00Z
138,Interglobe Sire Service,NA,14814 North 1500 East Road,Pontiac,IL,61764,"815.844.3733, Fax:815.844.3552",Assigned 11/12/1985,NA,NA,Formerly known as Interglobe Genetics 1985-3/31/2020,1985-11-12T00:00:00Z
139,Progressive Genetics,NA,P.O. Box 1378,Bartow,FL,33830,NA,Assigned 12/26/1985,End Date 5/18/2006,2006-05-18,NA,1985-12-26T00:00:00Z
140,Genetic Connection,NA,5001 County Line Road,Springfield,OH,45502,"937.399.1201, Fax:937.399.8789",Assigned 09/25/2004,End Date 04/25/2012,2012-04-25,Formerly Sire Technology International,2004-09-25T00:00:00Z
141,"Granada Sire Services, Inc.",NA,P.O. Box 99,Wheelock,TX,77882,409.828.5156,Assigned 03/24/1986,End Date 5/18/2006,2006-05-18,NA,1986-03-24T00:00:00Z
142,Sire Services,NA,6248 Ramona Street,Rancho Cucamonga,CA,91701,NA,Assigned 04/28/1986,End Date 5/18/2006,2006-05-18,NA,1986-04-28T00:00:00Z
143,"Purebred Embryos Company, Inc.",NA,3927 Green Valley Drive,Bryan,TX,77802,409.822.5922,Assigned 08/11/1986,End Date 5/18/2006,2006-05-18,NA,1986-08-11T00:00:00Z
144,Custom Cryogenics,NA,P.O. Box 1122,Oakdale,CA,95361,209.847.7112,Assigned 09/12/1986,End Date 5/18/2006,2006-05-18,NA,1986-09-12T00:00:00Z
145,Powell Genetic Services,NA,"Route 2, Box 107",Howard,SD,57349,NA,Assigned 03/09/1987,End Date 5/18/2006,2006-05-18,NA,1987-03-09T00:00:00Z
146,Premier Veterinary Services,NA,P.O. Box 607,Shelbyville,KY,40065,NA,Assigned 04/20/1987,End Date 5/18/2006,2006-05-18,NA,1987-04-20T00:00:00Z
147,Androgenics,NA,"11240 26 Mile Road, P.O. Box 183",Oakdale,CA,95361-0183,"209.847.1101, Fax:209.847.5711",Assigned 12/16/1987,NA,NA,NA,1987-12-16T00:00:00Z
148,"Greater Northern Genetics International, Ltd.",NA,Route 2 Box 13A,Kathryn,ND,58049,701.762.4469,Assigned 02/08/1988,End Date 5/18/2006,2006-05-18,NA,1988-02-08T00:00:00Z
149,Rocky Mountain Bovine Reproduction Center,NA,13601 North Washington Street,Denver,CO,80233,970.522.9011,Assigned 02/10/1988,End Date 5/18/2006,2006-05-18,NA,1988-02-10T00:00:00Z
150,Pacific International Genetics,NA,25725 68th Avenue,Los Molinos,CA,96055,530.529.0703,Assigned 02/17/1988,End Date 5/18/2006,2006-05-18,"Formerly Equine Veterinary Services, POB 1097, Half Moon Bay, CA 94019",1988-02-17T00:00:00Z
151,"Inguran, LLC, dba STgenetics-FDL",STgenetics,W7652 Hwy 151 South,Fond du Lac,WI,54937,"920.921.6029, Fax:920.286.6057",Assigned 05/02/1988,NA,NA,"Formerly TransWorld Genetics;Complete Sire Services, Inc.",1988-05-02T00:00:00Z
152,Apex Genetics,NA,1600 East Williams Street,Apex,NC,27539,919.362.8878,Assigned 05/03/1988,End Date 5/18/2006,2006-05-18,NA,1988-05-03T00:00:00Z
153,"Southeastern Semen Services, Inc.",NA,16878 45th Road,Wellborn,FL,32094,"386.963.5916, Fax:386.963.4319",Assigned 12/08/1988,NA,NA,NA,1988-12-08T00:00:00Z
154,Elgin Breeding Service,Elgin Breeding Service,"P.O. Box 68, 875 Central Avenue",Elgin,TX,78621,"512.285.2019, Fax:512.285.9683",Assigned 03/03/2006,NA,NA,32884,2006-03-03T00:00:00Z
155,Clarks Custom Collection,NA,W1211-178 Riverview Drive,Sullivan,WI,53178,NA,Assigned 08/25/1989,End Date 5/18/2006,2006-05-18,NA,1989-08-25T00:00:00Z
156,Cottage Farm Genetics,NA,971 Old Bells Road,Jackson,TN,38305,"731.664.7400, Fax:731.664.6258",Assigned 01/20/1990,NA,NA,NA,1990-01-20T00:00:00Z
157,"Great Plains Breeders Service, Inc.",NA,"P.O. Box 468, 6470 US Highway 83",Shamrock,TX,79079,"806.256.5414, Fax:806.256.3517",Assigned 06/18/1990,NA,NA,NA,1990-06-18T00:00:00Z
158,"Galaxie Genetics Reproductive Center, Inc.",NA,4173 Lyman Drive,Hilliard,OH,43026,"614.777.9550, Fax:614.777.9698",Assigned 06/22/1990,End Date 03/22/2012,2012-03-22,NA,1990-06-22T00:00:00Z
159,"Special Sires, Inc.",Semex Alliance,"131 Zook Mill Rd.,P.O. Box 487",Brownstown,PA,17508-0487,717.399.6445,Assigned 08/07/1990,End Date 5/18/2006,2006-05-18,NA,1990-08-07T00:00:00Z
160,Genetics Australia Cooperative Society Limited,NA,4104 Geelong-Bacchus Marsh Road,Parwan,VIC,3340 AUSTRALIA,61 3 5367 3888,Assigned 01/14/1998; Reassigned 02/19/2013,NA,NA,Formerly Victorian Artificial Breeders Cooperative Society,1998-01-14T00:00:00Z
161,Excel Breeders International,NA,Box 2353,Bismarck,ND,58502-2353,701.663.0724,Assigned 09/25/1991,End Date 5/18/2006,2006-05-18,Formerly assigned to Western Breeders International,1991-09-25T00:00:00Z
162,GB Genetics COFA SRL,NA,Via Orezola,Sospiro-CR,NA,26048 ITALY,39 0372 623293,Assigned 11/05/1992,NA,NA,Formerly known as COFA (Cooperativa di Fecondazione Artificiale),1992-11-05T00:00:00Z
163,"Ambreez, NZ, Ltd.",NA,P.O. Box 176,Hamilton,NA,New Zealand,64 78275058,Assigned 11/09/1992,End Date 5/18/2006,2006-05-18,NA,1992-11-09T00:00:00Z
164,Kvaegavlsforeningen Fyn,NA,Orbaekvej 276,Odense,NA,SO 5220 DENMARK,45 6615 7333,Assigned 11/17/1992,End Date 5/18/2006,2006-05-18,NA,1992-11-17T00:00:00Z
165,Hampshire Cattle Breeder's Society,NA,AI Centre,"Lyndhurst, Hampshire",NA,SO43 7NN ENGLAND,44 0703 283606,Assigned 12/07/1992,End Date 5/18/2006,2006-05-18,NA,1992-12-07T00:00:00Z
166,Pecplan Bradesco Inseminacao Artificial LTDA,NA,Cidade de Deus-Villa Yara,"Osasco, Sao Paulo",NA,06029-900 BRAZIL,55 11 704 5744,Assigned 12/09/1992,End Date 5/18/2006,2006-05-18,NA,1992-12-09T00:00:00Z
167,Animal Fertility Service,NA,80034 Kenzie Road,Covington,LA,70433,504.893.3839,Assigned 03/19/1993,End Date 5/18/2006,2006-05-18,NA,1993-03-19T00:00:00Z
168,Double D Genetics,NA,"HCR 67, Box 30E",Kenedy,TX,78119,210.583.9967,Assigned 05/03/1993,End Date 5/18/2006,2006-05-18,NA,1993-05-03T00:00:00Z
169,Centre d'Insemination Ovine du Quebec (CIOQ),NA,"198 Avenue Industrielle, CP 1539",LaPocatiere,QC,CANADA,418.856.5422,Assigned 05/20/1993,End Date 5/18/2006,2006-05-18,NA,1993-05-20T00:00:00Z
170,Holland Genetics,NA,P O Box 5073,Arnhem,NA,6802 FB THE NETHERLANDS,31 2 63864100,Assigned 03/31/1994,End Date 5/18/2006,2006-05-18,NA,1994-03-31T00:00:00Z
171,Zuid-Oost Genetics,NA,P O Box 79,Lochem,NA,7240 AB THE NETHERLANDS,31 0573 38100,Assigned 03/31/1994,End Date 5/18/2006,2006-05-18,NA,1994-03-31T00:00:00Z
172,"Coop ""Land Van Cuijk""",NA,Dr. Moonsweg 5,Beers,NA,5437 BG THE NETHERLANDS,31 8850 12754,Assigned 03/31/1994,End Date 5/18/2006,2006-05-18,NA,1994-03-31T00:00:00Z
173,Tyrestation Skaerup,NA,Helleskovvej 3A,Vildbjerg,NA,7480 DENMARK,45 9713 2382,Assigned 08/12/1994,End Date 5/18/2006,2006-05-18,NA,1994-08-12T00:00:00Z
174,Osnabrucker Herdbuch,NA,Fockinghausen,Melle,NA,49324 GERMANY,49 5422 9870,Assigned 08/19/1994,End Date 5/18/2006,2006-05-18,NA,1994-08-19T00:00:00Z
175,South Texas Breeding Service,ABS Global,"HCR 67, Box STBS",Kenedy,TX,78119,"210.583.3496, Fax:830.583.3518",Assigned 12/15/1994,End Date 5/18/2006,2006-05-18,NA,1994-12-15T00:00:00Z
176,Haliba,NA,Route D'Obourg 65,Mons,NA,7000 BELGIUM,32 6536 2302,Assigned 12/16/1994,End Date 5/18/2006,2006-05-18,NA,1994-12-16T00:00:00Z
177,C.I.A. Linllalux,NA,Rue des Champs Elysees 18,Ciney,NA,B5590 BELGIUM,32 83 215795,Assigned 12/16/1994,End Date 5/18/2006,2006-05-18,NA,1994-12-16T00:00:00Z
178,"Roberts Cattle Services, Inc.",NA,6028 Victoria Lane,Billings,MT,59106,406.652.3900,Assigned 02/02/1995,End Date 03/01/2006,2006-03-01,NA,1995-02-02T00:00:00Z
179,Great Lakes Sire Service,NA,723 Himebaugh Road,Bronson,MI,49028,"269.489.9888, Fax:269.489.5658",Assigned 03/09/1995,NA,NA,NA,1995-03-09T00:00:00Z
180,EVOLUTION,Synetics,Rue Eric Tabarly-CS 10040,Noyal Sur Vilaine Cedex,NA,35538 FRANCE,33 2 99 87 90 90,Assigned 05/18/1995,NA,NA,Formerly known as CREAVIA SAS or SERSIA France; Formerly assigned to OGER-Ouest Genetique Elevage Reproduction,1995-05-18T00:00:00Z
181,Rocky Ridge Cattle Services,NA,"Box 181, Evans Ranch of Rocky Ridge",Raynesford,MT,59469,406.738.4316,Assigned 07/24/1995,End Date 5/18/2006,2006-05-18,NA,1995-07-24T00:00:00Z
182,Genes Diffusion,NA,"B.P. 70023, 3595 Route de Tournai",Douai Cedex,NA,59501 FRANCE,"33 3 2799 2929, Fax:33 3 2788 0927",Assigned 09/11/1995,NA,NA,NA,1995-09-11T00:00:00Z
183,Origenplus,NA,50 rue Joseph Guillonneau,Lisieux,NA,14100 FRANCE,"33 231 62 0855, Fax:33 231 62 2412",Assigned 12/08/1995,End Date 05/16/2018,2018-05-16,Formerly known as DYNAM'IS. Formerly assigned to UNOG-Union Nord-Ouest Genetique,1995-12-08T00:00:00Z
184,RUW (Rinder-Union West e.G.),NA,Schiffahrter Damm 235A,Munster,NA,48147 GERMANY,"49 251 92 88 0, Fax:49 251 92 88 236",Assigned 12/21/1995,NA,NA,NA,1995-12-21T00:00:00Z
185,VOST (Verein Ostfriesischer Stammviehzuchter e.G.,NA,Nessestrabe 1,Leer,NA,26789 GERMANY,"49 491 80040, Fax:49 491 800422",Assigned 02/20/1996,NA,NA,NA,1996-02-20T00:00:00Z
186,Holbrook Breeders Australia,NA,109 Albury Street,Holbrook,NSW,2644 AUSTRALIA,"61 260 36 3149, Fax:61 260 36 3506",Assigned 02/27/1996,NA,NA,NA,1996-02-27T00:00:00Z
187,"Total Livestock Genetics Victoria, Pty Ltd.","Total Livestock Genetics, Pty Ltd.",P.O. Box 105,Camperdown,VIC,3260 AUSTRALIA,"61 0355 932016, Fax:61 0355 932630",Assigned 03/08/1996,NA,NA,NA,1996-03-08T00:00:00Z
188,Belmont Breeders,NA,Box 391,Intercourse,PA,17534,"717.808.4907, Fax:717.768.8553",Assigned 05/30/1996,End Date 01/23/2006,2006-01-23,NA,1996-05-30T00:00:00Z
189,Reproductive Progress,NA,175 Gibbons Place,Athens,GA,30605,706.546.7005,Assigned 06/07/1996,End Date 5/18/2006,2006-05-18,NA,1996-06-07T00:00:00Z
190,Livestock Improvement Corporation Ltd.,NA,"Corner Ruakura/Morrinsville Roads, Newstead, Private Bag 3016",Hamilton,NA,3240 NEW ZEALAND,"64 7 8560 584, Fax:64 7 856 2963",Assigned 09/10/1996,NA,NA,NA,1996-09-10T00:00:00Z
191,Central Wisconsin Semen Freezing Service,NA,545 NE Plum Avenue,Earlham,IA,50072,NA,Assigned 10/31/1996,End Date 03/14/2011,2011-03-14,NA,1996-10-31T00:00:00Z
192,France Embryon,NA,BP 24,Montrond-Les-Bains,NA,42210 FRANCE,"33 7736 3444, Fax:33 7736 3449",Assigned 12/20/1996,End Date 02/11/2008,2008-02-11,NA,1996-12-20T00:00:00Z
193,Columbia Animal Hospital,NA,1409 Highway 98 East,Columbia,MS,39425,"601.736.3041, Fax:601.731.2320",Assigned 07/10/1997,End Date 5/18/2006,2006-05-18,NA,1997-07-10T00:00:00Z
194,Semex Hungary Ltd.(Genbank),Semex Alliance,"H-5820 Mezohegyes, POB 24",Kulterulet,NA,0646/15 hrsz HUNGARY,"36 68 566 200, Fax:36 68 566 209",Assigned 08/08/1997,NA,NA,NA,1997-08-08T00:00:00Z
195,Alta Genetics,Alta Genetics,Zijlsterweg 4,Feerwerd,NA,9892 PK THE NETHERLANDS,"31 5955 26666, Fax:31 5955 26667",Re-assigned 07/17/2014,NA,NA,Formerly assigned to AltaPon,2014-07-17T00:00:00Z
196,Swissgenetics/AI Center Muelligen,NA,Hauptstrasse 61,Muelligen,NA,CH-5243 SWITZERLAND,"41 56 201 4550, Fax:41 56 201 4560",Assigned 09/12/1997,NA,NA,NA,1997-09-12T00:00:00Z
197,Swiss Federation for Artificial Insemination,NA,AI Center Buetschwill,St. Gallen,NA,CH-9606 SWITZERLAND,"41 71 983 2311, Fax:41 71 983 3970",Assigned 09/12/1997,End Date 02/07/2006,2006-02-07,NA,1997-09-12T00:00:00Z
198,INTERMIZOO S.p.a.,NA,"Via Po, 21",Padova,NA,35135 ITALY,"39 49 872 4757, Fax:39 49 872 4868",Assigned 03/19/1998,NA,NA,NA,1998-03-19T00:00:00Z
199,Inseme SPA,Inseme,Centro Tori-Frazione,"Zorlesco, Casalpusterlengo (Lo)",NA,26841 ITALY,"39 377 831204, Fax:39 377 831204",Assigned 03/26/1998,NA,NA,Formerly known as ELPZOO,1998-03-26T00:00:00Z
200,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1G 3Z2 CANADA,"519.821.5060, Fax:519.821.9606",Assigned 05/28/1997,NA,NA,"Partners include BCAI, CIAQ, EBI and Gencor",1997-05-28T00:00:00Z
201,AI Station Lithor,NA,Agrovysocina a.s. Horniulice 30,Zdar nad Sazavou,NA,591 01 CZECH REPUBLIC,"42 0617 420 289, Fax:42 0617 420 289",Assigned 02/12/1998,End Date 5/18/2006,2006-05-18,NA,1998-02-12T00:00:00Z
202,Masterrind GmbH,NA,Osterkrug 20,Verden,NA,27283 GERMANY,"49 4231 6790, Fax:49 4231 679780",Assigned 04/03/1998,NA,NA,NA,1998-04-03T00:00:00Z
203,"Inguran,LLC dba STgenetics-NAV",STgenetics,22575 State Highway 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 04/03/1998,NA,NA,"Formerly Genetic Resources International; Formerly Technological Advances in Farm Animals, College Station, TX",1998-04-03T00:00:00Z
204,Triple Crown Sires,NA,1815 Summit Drive NE,Rochester,MN,55901,"507.282.7451, Fax:507.280.4400",Assigned 04/24/1998,End Date 04/19/2013,2013-04-19,Formerly Excalibur Sires,1998-04-24T00:00:00Z
205,Hunters Bamawm Bull Farm & Semen Collections (HBBS),NA,24 Vise Road,Bamawm,VIC,3561 AUSTRALIA,"61 35 428 5056 72, Fax:61 35 486 2443",Assigned 05/05/1998,End date 03/31/2009,2009-03-31,NA,1998-05-05T00:00:00Z
206,"Inseme, SPA",Inseme,Via Maremmana N. 17 A/C,La Serra di San Miniato (PISA),NA,56024 ITALY,"39 0571 41541, Fax:39 0571 460259",Assigned 05/07/1998,NA,NA,Formerly known as CIZ,1998-05-07T00:00:00Z
207,Rinderbesamungs-Genossenschaft Memmingen,NA,NA,Memmington,NA,87700 GERMANY,"49 8331 63026, Fax:49 8331 61579",Assigned 07/17/1998,End Date 5/18/2006,2006-05-18,NA,1998-07-17T00:00:00Z
208,"Dairy Cattle Improvement Center,National Agricultural Cooperative Federation-Agribusiness Group",NA,"233-127 Seosamneung-gil, Deogyang-gu, Goyang-si",Gyeonggi-do,NA,KOREA,"82 31 929 1080, Fax:82 31 929 1090",Assigned 10/14/1998,NA,NA,NA,1998-10-14T00:00:00Z
209,RinderAllianz GmbH (formerly RMV),NA,Am Bullenberg 1,Woldegk,NA,17348 GERMANY,"49 3963 25590, Fax:49 3963 255926",Assigned 10/20/1998,NA,NA,NA,1998-10-20T00:00:00Z
210,Inseme SPA,Inseme,"Via Cadiane 181, 41126 Saliceta S. Giuliano",Modena,NA,ITALY,"39 59 51 4611, Fax:39 59 51 4697",Assigned 11/30/1998,End Date 05/01/2013,2013-05-01,Formerly known as SemenItaly,1998-11-30T00:00:00Z
211,"Emtech Genetics Saskatchewan, Ltd.",NA,Box 148,Hague,SK,S0K 1X0 CANADA,"306.225.2261, Fax:306.225.4412",Assigned 01/04/1999,NA,NA,NA,1999-01-04T00:00:00Z
212,Alpenseme-Federazione Prov. Le Allevatori-Trento,NA,"Via Castello, Number 10","Toss, Di Ton",NA,38010 ITALY,"39 0461 432131, Fax:39 0461 432110",Assigned 05/19/1999,NA,NA,NA,1999-05-19T00:00:00Z
213,Agire,NA,BP 32,Versun,NA,14790 FRANCE,"33 023 180 7192, Fax:33 023 180 1709",Assigned 06/29/1999,End Date 5/18/2006,2006-05-18,NA,1999-06-29T00:00:00Z
214,Interselection Normande,NA,38 Rue de la Merilliere,L'Aigle,NA,61300 FRANCE,"33 0233 844884, Fax:33 0233 844890",Assigned 06/29/1999,End Date 04/30/2014,2014-04-30,NA,1999-06-29T00:00:00Z
215,Plemenari Brno,NA,Osvobodiletu,Zlin,NA,1370 CZECH REPUBLIC,"42 05 412 15400, Fax:42 06 21 322303",Assigned 11/04/1999,End Date 5/18/2006,2006-05-18,NA,1999-11-04T00:00:00Z
216,Rosethyme Farm,NA,31987 US 54,Logan,NM,88426,505.487.4628,Assigned 01/06/2000,End date 05/14/2007,2007-05-14,NA,2000-01-06T00:00:00Z
217,EVA Jura,NA,Route de Lons,"Crancot, Hauteroche",NA,39570 FRANCE,"33 0384 482211, Fax:33 0384 482515",Assigned 08/02/2000,NA,NA,Formerly known as Jura-Betail,2000-08-02T00:00:00Z
218,Inseme SPA,Inseme,Via Masaccio 11 Mancasale,Reggio Emilia,NA,42124 ITALY,"39 522 271262, Fax:39 522 271264",Assigned 08/21/2000,NA,NA,Formerly known as Genetica 2000,2000-08-21T00:00:00Z
219,Centro Provinciale per la Fecondazione Artificiale,NA,Via Leopoldo Pilla 28 Curatone,Mantova,NA,46010 ITALY,"39 0376 349027, Fax:39 0376 349365",Assigned 08/21/2000,End Date 5/18/2006,2006-05-18,NA,2000-08-21T00:00:00Z
220,Cooperative Agricole D'Insemination Artificielle de Crehen UNECO,NA,BP 19,Crehen,NA,22130 FRANCE,33 296 594040 Fax:33 26 894050,Assigned 06/26/1995,End Date 03/13/2008,2008-03-13,NA,1995-06-26T00:00:00Z
221,"ABS Australia ""Langiballa""",ABS Global,Olympic Way,Table Top,NSW,2642 AUSTRALIA,"61 02 6049 9200, Fax:61 02 6026 2387",Assigned 08/28/2000,End Date: 12/10/2007,2007-12-10,NA,2000-08-28T00:00:00Z
222,KI Samen b.v.,NA,"Lorbaan 27, Grashoek, NX 5985, Postbus 7171",Grashoek,NA,AD 5980 THE NETHERLANDS,"31 77 358 6789, Fax:31 77 307 7133",Assigned 02/28/1997,NA,NA,NA,1997-02-28T00:00:00Z
223,CBS Genetics s.r.o.,NA,Komenskeho 221,Grygov,NA,783 73 CZECH REPUBLIC,"42 0585 425 005, Fax:42 0585 413 387",Assigned 09/19/2000,NA,NA,Formerly known as Genoservis CBS (Czech Breeding Service),2000-09-19T00:00:00Z
224,Cogent Breeding Ltd.,NA,"Beachin Stud, Lea Lane","Alford, Chester",NA,"CH3 6JQ, UNITED KINGDOM","44 1244 622000, Fax:44 1244 620373",Assigned 09/27/2000,NA,NA,NA,2000-09-27T00:00:00Z
225,Natural SPOL-SRO,NA,"Chovatelu 413,",Hradistko pod Mednikem,NA,252 09 CZECH REPUBLIC,"42 0257 740 348, Fax:42 0257 740 550",Assigned 11/03/2000,NA,NA,NA,2000-11-03T00:00:00Z
226,RSH (Rinderzucht Schleswig-Holstein eG),NA,Rendsburger Str 178,Neumunster,NA,24537 GERMANY,"49 4321 905 300, Fax:49 4321 905 395",Assigned 01/15/2001,NA,NA,NA,2001-01-15T00:00:00Z
227,Collecta-Bull Services/Davis Family Farm,NA,416 Willow Brook Road,Clinton Corners,NY,12514,"845.204.9065, Fax:845.868.7230",Assigned 01/12/2001,End Date: 06/25/2019,2019-06-25,NA,2001-01-12T00:00:00Z
228,Viking Genetics,Viking Genetics,Korpikylantie 77,Hollola,NA,FI-15871 FINLAND,"45 7355 2523, Fax:45 7483 5367",Assigned 02/26/2001,NA,NA,NA,2001-02-26T00:00:00Z
229,Circle J Custom Collecting,NA,10919 Hwy 42,Newton,WI,53063,920.627.0037,Assigned 09/07/2001,End Date 02/15/2011,2011-02-15,NA,2001-09-07T00:00:00Z
230,RSA (Rinderzuchtverband Sachsen-Anhalt eG),NA,BahnhofstraBe 32,Stendal,NA,39576 GERMANY,"49 3931 6964 0, Fax:49 3931 2129 32",Assigned 05/09/2002,End Date 02/02/2017,2017-02-02,NA,2002-05-09T00:00:00Z
231,RPN (Rinderproduktion Niedersachsen Gmbh),NA,Bremen-Hanover,"Verden (Aller), Niedersachsen",NA,27283 GERMANY,"49 4231 6795, Fax:49 4231 679780",Assigned 05/09/2002,End Date 05/15/2008,2008-05-15,NA,2002-05-09T00:00:00Z
232,RBB (Rinderproduktion Berlin-Brandenburg GmbH),NA,Lehniner StraBe 9,GroB Kreutz (Havel),NA,14550 GERMANY,"49 33207 5330, Fax:49 333207 533 199",Assigned 05/09/2002,NA,NA,NA,2002-05-09T00:00:00Z
233,WEU (Weser-EMS-Union eG),NA,"Feldlinie 2A, BAD",Zwischenahn,NA,26160 GERMANY,"49 4403 9326 10, Fax:49 4403 9326 13",Assigned 05/09/2002,End Date 01/22/2014,2014-01-22,NA,2002-05-09T00:00:00Z
234,Qnetics GmbH (formerly LTR),NA,"Stotternheimer, Str. 19",Erfurt,NA,99087 GERMANY,"49 361 77974 0, Fax:49 361 77974 44",Assigned 05/09/2002,NA,NA,NA,2002-05-09T00:00:00Z
235,"Aberekin, S.A.",NA,"Parque Tecnologico, Edificio 600",Derio-Bizkaia,NA,48160 SPAIN,"34 94 454 1577, Fax:34 94 454 0878",Assigned 05/20/2002,NA,NA,NA,2002-05-20T00:00:00Z
236,Viking Genetics,Viking Genetics,Ebeltoftvej 16 Assentoft,Randers,NA,DK-8960 DENMARK,"45 8795 9435, Fax:45 8795 9401",Assigned 06/19/2002,NA,NA,NA,2002-06-19T00:00:00Z
237,"ORIgen, Inc.",NA,10 West Arrow Creek Road,Huntley,MT,59037,"406.348.2345, Fax:406.348.2346",Assigned 10/07/2002,NA,NA,NA,2002-10-07T00:00:00Z
238,Global Genetics and Biologicals,NA,4011 SH47,Bryan,TX,77807,"979.822.4000, Fax:979.822.4022",Assigned 11/20/2002,End Date 03/06/2007,2007-03-06,NA,2002-11-20T00:00:00Z
239,Besamungsverein Neustadt a.d. Aisch e.V.,NA,Karl Eibl-Str. 17-27,Neustadt a.d. Aisch,NA,D-91413 GERMANY,"49 09161 787300, Fax:49 09161 7874301",Assigned 12/19/2002,End Date 01/01/2015,2015-01-01,NA,2002-12-19T00:00:00Z
240,GENSUR Ltda.,NA,Nueva York 1690,Montevideo,NA,CP 11800 URUGUAY,"598 29246655, Fax:598 29290260",Assigned 12/19/2002,NA,NA,NA,2002-12-19T00:00:00Z
241,USDA ARID Goat Breeding and Research Center,NA,"Highway 1, Yeghegnadzor",Vayots Dzor Marz,NA,ARMENIA,"7 3741 28 2697, Fax:7 3741 58 7928",Assigned 01/02/2003, End Date 01/09/2006,2006-01-09,NA,2003-01-02T00:00:00Z
242,Nederlandse Vereniging voor KI Kampen,NA,"De Besel, Dalfsen",Overijssel,NA,"7722 PD, THE NETHERLANDS","31 529 431967, Fax:31 529 434979",Assigned 01/24/2003,End Date 02/06/2006,2006-02-06,NA,2003-01-24T00:00:00Z
243,Optimum Genetics Ltd.,NA,"4246 Albert Street, Suite 407",Regina,SK,S4S 3R9 CANADA,"306.585.1234, Fax:306.585.7607",Assigned 02/04/2003,End Date 05/14/2007,2007-05-14,NA,2003-02-04T00:00:00Z
244,Xenetica Fontao S.A.,NA,"Fontao-Esperante, Apartado de Correos 128",Lugo,NA,27080 SPAIN,"34 982 28 4391, Fax:34 982 28 4626",Assigned 04/10/2003,NA,NA,NA,2003-04-10T00:00:00Z
245,Centro Tori Chiacchierini Di Chiacchierini Anna,NA,"Strada Del Richiavo 21/A, Civitella D'Arna",Perugia,NA,06134 ITALY,"39 075 602726, Fax:39 075 602799",Assigned 05/03/2004,NA,NA,NA,2004-05-03T00:00:00Z
246,CIA de Muerthe & Moselle UNECO,NA,"Chemin de Gerardcourt, Laneuveville devant Nancy",Meurthe & Moselle,NA,54410 FRANCE,"33 383 5102, Fax:33 8353 3754",Assigned 07/20/2004,End Date 5/18/2006,2006-05-18,NA,2004-07-20T00:00:00Z
247,CIA Mayenne UNECO,NA,406 rue de Normandie,Mayenne,NA,53100 FRANCE,"33 243 041010, Fax:33 243 048144",Assigned 07/20/2004,End Date 5/18/2006,2006-05-18,NA,2004-07-20T00:00:00Z
248,CIA des Vosges et de la Haute Marne UNECO,NA,8 route de Gerardmer,Epinal Vosges,NA,88000 FRANCE,"33 329 81 1590, Fax:33 329 81 1599",Assigned 07/20/2004,End Date 5/18/2006,2006-05-18,NA,2004-07-20T00:00:00Z
249,Viking Genetics,Viking Genetics,PO Box 64,SE 532 21 Skara,NA,SWEDEN,"46 511 26700, Fax:46 511 26707",Assigned 09/02/2004,NA,NA,NA,2004-09-02T00:00:00Z
