primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,notes
166,Pecplan Bradesco Inseminacao Artificial LTDA,,Cidade de Deus-Villa Yara,"Osasco, Sao Paulo",,06029-900 BRAZIL,55 11 704 5744,Assigned 12/09/1992; End Date 05/18/2006,
167,Animal Fertility Service,,80034 Kenzie Road,Covington,LA,70433,504.893.3839,Assigned 03/19/1993; End Date 05/18/2006,
168,Double D Genetics,,"HCR 67, Box 30E",Kenedy,TX,78119,210.583.9967,Assigned 05/03/1993; End Date 05/18/2006,
169,Centre d'Insemination Ovine du Quebec (CIOQ),,"198 Avenue Industrielle, CP 1539",LaPocatiere,QC,CANADA,418.856.5422,Assigned 05/20/1993; End Date 05/18/2006,
170,Holland Genetics,,P O Box 5073,Arnhem,,6802 FB THE NETHERLANDS,31 2 63864100,Assigned 03/31/1994; End Date 05/18/2006,
171,Zuid-Oost Genetics,,P O Box 79,Lochem,,7240 AB THE NETHERLANDS,31 0573 38100,Assigned 03/31/1994; End Date 05/18/2006,
172,"Coop ""Land Van Cuijk""",,Dr. Moonsweg 5,Beers,,5437 BG THE NETHERLANDS,31 8850 12754,Assigned 03/31/1994; End Date 05/18/2006,
173,Tyrestation Skaerup,,Helleskovvej 3A,Vildbjerg,,7480 DENMARK,45 9713 2382,Assigned 08/12/1994; End Date 05/18/2006,
174,Osnabrucker Herdbuch,,Fockinghausen,Melle,,49324 GERMANY,49 5422 9870,Assigned 08/19/1994; End Date 05/18/2006,
175,South Texas Breeding Service,ABS Global,"HCR 67, Box STBS",Kenedy,TX,78119,"210.583.3496, Fax:830.583.3518",Assigned 12/15/1994; End date 05/18/2006,
176,Haliba,,Route D'Obourg 65,Mons,,7000 BELGIUM,32 6536 2302,Assigned 12/16/1994; End Date 05/18/2006,
177,C.I.A. Linllalux,,Rue des Champs Elysees 18,Ciney,,B5590 BELGIUM,32 83 215795,Assigned 12/16/1994; End Date 05/18/2006,
178,"Roberts Cattle Services, Inc.",,6028 Victoria Lane,Billings,MT,59106,406.652.3900,Assigned 02/02/1995; End Date 03/01/2006,
179,Great Lakes Sire Service,,723 Himebaugh Road,Bronson,MI,49028,"269.489.9888, Fax:269.489.5658",Assigned 03/09/1995,
180,EVOLUTION,Synetics,Rue Eric Tabarly-CS 10040,Noyal Sur Vilaine Cedex,,35538 FRANCE,33 2 99 87 90 90,Assigned 05/18/1995,Formerly known as CREAVIA SAS or SERSIA France; Formerly assigned to OGER-Ouest Genetique Elevage Reproduction
181,Rocky Ridge Cattle Services,,"Box 181, Evans Ranch of Rocky Ridge",Raynesford,MT,59469,406.738.4316,Assigned 07/24/1995; End Date 05/18/2006,
182,Genes Diffusion,,"B.P. 70023, 3595 Route de Tournai",Douai Cedex,,59501 FRANCE,"33 3 2799 2929, Fax:33 3 2788 0927",Assigned 09/11/1995,
183,Origenplus,,50 rue Joseph Guillonneau,Lisieux,,14100 FRANCE,"33 231 62 0855, Fax:33 231 62 2412",Assigned 12/08/1995; End Date 05/16/2018,Formerly known as DYNAM'IS. Formerly assigned to UNOG-Union Nord-Ouest Genetique
184,RUW (Rinder-Union West e.G.),,Schiffahrter Damm 235A,Munster,,48147 GERMANY,"49 251 92 88 0, Fax:49 251 92 88 236",Assigned 12/21/1995,
185,VOST (Verein Ostfriesischer Stammviehzuchter e.G.,,Nessestrabe 1,Leer,,26789 GERMANY,"49 491 80040, Fax:49 491 800422",Assigned 02/20/1996,
186,Holbrook Breeders Australia,,109 Albury Street,Holbrook,NSW,2644 AUSTRALIA,"61 260 36 3149, Fax:61 260 36 3506",Assigned 02/27/1996,
187,"Total Livestock Genetics Victoria, Pty Ltd.","Total Livestock Genetics, Pty Ltd.",P.O. Box 105,Camperdown,VIC,3260 AUSTRALIA,"61 0355 932016, Fax:61 0355 932630",Assigned 03/08/1996,
188,Belmont Breeders,,Box 391,Intercourse,PA,17534,"717.808.4907, Fax:717.768.8553",Assigned 05/30/1996; End Date 01/23/2006,
189,Reproductive Progress,,175 Gibbons Place,Athens,GA,30605,706.546.7005,Assigned 06/07/1996; End Date 05/18/2006,
190,Livestock Improvement Corporation Ltd.,,"Corner Ruakura/Morrinsville Roads, Newstead, Private Bag 3016",Hamilton,,3240 NEW ZEALAND,"64 7 8560 584, Fax:64 7 856 2963",Assigned 09/10/1996,
191,Central Wisconsin Semen Freezing Service,,545 NE Plum Avenue,Earlham,IA,50072,,Assigned 10/31/1996; End Date 03/14/2011,
192,France Embryon,,BP 24,Montrond-Les-Bains,,42210 FRANCE,"33 7736 3444, Fax:33 7736 3449",Assigned 12/20/1996; End Date 02/11/2008,
193,Columbia Animal Hospital,,1409 Highway 98 East,Columbia,MS,39425,"601.736.3041, Fax:601.731.2320",Assigned 07/10/1997; End Date 05/18/2006,
194,Semex Hungary Ltd.(Genbank),Semex Alliance,"H-5820 Mezohegyes, POB 24",Kulterulet,,0646/15 hrsz HUNGARY,"36 68 566 200, Fax:36 68 566 209",Assigned 08/08/1997,
195,Alta Genetics,Alta Genetics,Zijlsterweg 4,Feerwerd,,9892 PK THE NETHERLANDS,"31 5955 26666, Fax:31 5955 26667",Re-assigned 07/17/2014,Formerly assigned to AltaPon
196,Swissgenetics/AI Center Muelligen,,Hauptstrasse 61,Muelligen,,CH-5243 SWITZERLAND,"41 56 201 4550, Fax:41 56 201 4560",Assigned 09/12/1997,
197,Swiss Federation for Artificial Insemination,,AI Center Buetschwill,St. Gallen,,CH-9606 SWITZERLAND,"41 71 983 2311, Fax:41 71 983 3970",Assigned 09/12/1997; End Date 02/07/2006,
198,INTERMIZOO S.p.a.,,"Via Po, 21",Padova,,35135 ITALY,"39 49 872 4757, Fax:39 49 872 4868",Assigned 03/19/1998,
199,Inseme SPA,Inseme,Centro Tori-Frazione,"Zorlesco, Casalpusterlengo (Lo)",,26841 ITALY,"39 377 831204, Fax:39 377 831204",Assigned 03/26/1998,Formerly known as ELPZOO
200,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1G 3Z2 CANADA,"519.821.5060, Fax:519.821.9606",Assigned 05/28/1997,"Partners include BCAI, CIAQ, EBI and Gencor"
201,AI Station Lithor,,Agrovysocina a.s. Horniulice 30,Zdar nad Sazavou,,591 01 CZECH REPUBLIC,"42 0617 420 289, Fax:42 0617 420 289",Assigned 02/12/1998; End Date 05/18/2006,
202,Masterrind GmbH,,Osterkrug 20,Verden,,27283 GERMANY,"49 4231 6790, Fax:49 4231 679780",Assigned 04/03/1998,
203,"Inguran,LLC dba STgenetics-NAV",STgenetics,22575 State Highway 6 South,Navasota,TX,77868,"936.870.3960, Fax:936.870.3963",Assigned 04/03/1998,"Formerly Genetic Resources International; Formerly Technological Advances in Farm Animals, College Station, TX"
204,Triple Crown Sires,,1815 Summit Drive NE,Rochester,MN,55901,"507.282.7451, Fax:507.280.4400",Assigned 04/24/1998; End Date 04/19/2013,Formerly Excalibur Sires
205,Hunters Bamawm Bull Farm & Semen Collections (HBBS),,24 Vise Road,Bamawm,VIC,3561 AUSTRALIA,"61 35 428 5056 72, Fax:61 35 486 2443",Assigned 05/05/1998; End date 03/31/2009,
206,"Inseme, SPA",Inseme,Via Maremmana N. 17 A/C,La Serra di San Miniato (PISA),,56024 ITALY,"39 0571 41541, Fax:39 0571 460259",Assigned 05/07/1998,Formerly known as CIZ
207,Rinderbesamungs-Genossenschaft Memmingen,,,Memmington,,87700 GERMANY,"49 8331 63026, Fax:49 8331 61579",Assigned 07/17/1998; End Date 05/18/2006,
208,"Dairy Cattle Improvement Center,National Agricultural Cooperative Federation-Agribusiness Group",,"233-127 Seosamneung-gil, Deogyang-gu, Goyang-si",Gyeonggi-do,,KOREA,"82 31 929 1080, Fax:82 31 929 1090",Assigned 10/14/1998,
209,RinderAllianz GmbH (formerly RMV),,Am Bullenberg 1,Woldegk,,17348 GERMANY,"49 3963 25590, Fax:49 3963 255926",Assigned 10/20/1998,
210,Inseme SPA,Inseme,"Via Cadiane 181, 41126 Saliceta S. Giuliano",Modena,,ITALY,"39 59 51 4611, Fax:39 59 51 4697",Assigned 11/30/1998; End Date 05/01/2013,Formerly known as SemenItaly
211,"Emtech Genetics Saskatchewan, Ltd.",,Box 148,Hague,SK,S0K 1X0 CANADA,"306.225.2261, Fax:306.225.4412",Assigned 01/04/1999,
212,Alpenseme-Federazione Prov. Le Allevatori-Trento,,"Via Castello, Number 10","Toss, Di Ton",,38010 ITALY,"39 0461 432131, Fax:39 0461 432110",Assigned 05/19/1999,
213,Agire,,BP 32,Versun,,14790 FRANCE,"33 023 180 7192, Fax:33 023 180 1709",Assigned 06/29/1999; End Date 05/18/2006,
214,Interselection Normande,,38 Rue de la Merilliere,L'Aigle,,61300 FRANCE,"33 0233 844884, Fax:33 0233 844890",Assigned 06/29/1999; End Date 04/30/2014,
215,Plemenari Brno,,Osvobodiletu,Zlin,,1370 CZECH REPUBLIC,"42 05 412 15400, Fax:42 06 21 322303",Assigned 11/04/1999; End Date 05/18/2006,
216,Rosethyme Farm,,31987 US 54,Logan,NM,88426,505.487.4628,Assigned 01/06/2000; End date 05/14/2007,
217,EVA Jura,,Route de Lons,"Crancot, Hauteroche",,39570 FRANCE,"33 0384 482211, Fax:33 0384 482515",Assigned 08/02/2000,Formerly known as Jura-Betail
218,Inseme SPA,Inseme,Via Masaccio 11 Mancasale,Reggio Emilia,,42124 ITALY,"39 522 271262, Fax:39 522 271264",Assigned 08/21/2000,Formerly known as Genetica 2000
219,Centro Provinciale per la Fecondazione Artificiale,,Via Leopoldo Pilla 28 Curatone,Mantova,,46010 ITALY,"39 0376 349027, Fax:39 0376 349365",Assigned 08/21/2000: End date 05/18/2006,
220,Cooperative Agricole D'Insemination Artificielle de Crehen UNECO,,BP 19,Crehen,,22130 FRANCE,33 296 594040 Fax:33 26 894050,Assigned 06/26/1995; End Date 03/13/2008,
221,"ABS Australia ""Langiballa""",ABS Global,Olympic Way,Table Top,NSW,2642 AUSTRALIA,"61 02 6049 9200, Fax:61 02 6026 2387",Assigned 08/28/2000; End Date: 12/10/2007,
222,KI Samen b.v.,,"Lorbaan 27, Grashoek, NX 5985, Postbus 7171",Grashoek,,AD 5980 THE NETHERLANDS,"31 77 358 6789, Fax:31 77 307 7133",Assigned 02/28/1997,
223,CBS Genetics s.r.o.,,Komenskeho 221,Grygov,,783 73 CZECH REPUBLIC,"42 0585 425 005, Fax:42 0585 413 387",Assigned 09/19/2000,Formerly known as Genoservis CBS (Czech Breeding Service)
224,Cogent Breeding Ltd.,,"Beachin Stud, Lea Lane","Alford, Chester",,"CH3 6JQ, UNITED KINGDOM","44 1244 622000, Fax:44 1244 620373",Assigned 09/27/2000,
225,Natural SPOL-SRO,,"Chovatelu 413,",Hradistko pod Mednikem,,252 09 CZECH REPUBLIC,"42 0257 740 348, Fax:42 0257 740 550",Assigned 11/03/2000,
226,RSH (Rinderzucht Schleswig-Holstein eG),,Rendsburger Str 178,Neumunster,,24537 GERMANY,"49 4321 905 300, Fax:49 4321 905 395",Assigned 01/15/2001,
227,Collecta-Bull Services/Davis Family Farm,,416 Willow Brook Road,Clinton Corners,NY,12514,"845.204.9065, Fax:845.868.7230",Assigned 01/12/2001; End Date: 06/25/2019,
228,Viking Genetics,Viking Genetics,Korpikylantie 77,Hollola,,FI-15871 FINLAND,"45 7355 2523, Fax:45 7483 5367",Assigned 02/26/2001,
229,Circle J Custom Collecting,,10919 Hwy 42,Newton,WI,53063,920.627.0037,Assigned 09/07/2001; End Date 02/15/2011,
230,RSA (Rinderzuchtverband Sachsen-Anhalt eG),,BahnhofstraBe 32,Stendal,,39576 GERMANY,"49 3931 6964 0, Fax:49 3931 2129 32",Assigned 05/09/2002; End Date 02/02/2017,
231,RPN (Rinderproduktion Niedersachsen Gmbh),,Bremen-Hanover,"Verden (Aller), Niedersachsen",,27283 GERMANY,"49 4231 6795, Fax:49 4231 679780",Assigned 05/09/2002; End Date 05/15/2008,
232,RBB (Rinderproduktion Berlin-Brandenburg GmbH),,Lehniner StraBe 9,GroB Kreutz (Havel),,14550 GERMANY,"49 33207 5330, Fax:49 333207 533 199",Assigned 05/09/2002,
233,WEU (Weser-EMS-Union eG),,"Feldlinie 2A, BAD",Zwischenahn,,26160 GERMANY,"49 4403 9326 10, Fax:49 4403 9326 13",Assigned 05/09/2002; End Date 01/22/2014,
234,Qnetics GmbH (formerly LTR),,"Stotternheimer, Str. 19",Erfurt,,99087 GERMANY,"49 361 77974 0, Fax:49 361 77974 44",Assigned 05/09/2002,
235,"Aberekin, S.A.",,"Parque Tecnologico, Edificio 600",Derio-Bizkaia,,48160 SPAIN,"34 94 454 1577, Fax:34 94 454 0878",Assigned 05/20/2002,
236,Viking Genetics,Viking Genetics,Ebeltoftvej 16 Assentoft,Randers,,DK-8960 DENMARK,"45 8795 9435, Fax:45 8795 9401",Assigned 06/19/2002,
237,"ORIgen, Inc.",,10 West Arrow Creek Road,Huntley,MT,59037,"406.348.2345, Fax:406.348.2346",Assigned 10/07/2002,
238,Global Genetics and Biologicals,,4011 SH47,Bryan,TX,77807,"979.822.4000, Fax:979.822.4022",Assigned 11/20/2002; End Date 03/06/2007,
239,Besamungsverein Neustadt a.d. Aisch e.V.,,Karl Eibl-Str. 17-27,Neustadt a.d. Aisch,,D-91413 GERMANY,"49 09161 787300, Fax:49 09161 7874301",Assigned 12/19/2002; End Date 01/01/2015,
240,GENSUR Ltda.,,Nueva York 1690,Montevideo,,CP 11800 URUGUAY,"598 29246655, Fax:598 29290260",Assigned 12/19/2002,
241,USDA ARID Goat Breeding and Research Center,,"Highway 1, Yeghegnadzor",Vayots Dzor Marz,,ARMENIA,"7 3741 28 2697, Fax:7 3741 58 7928",Assigned 01/02/2003; End Date 01/09/2006,
242,Nederlandse Vereniging voor KI Kampen,,"De Besel, Dalfsen",Overijssel,,"7722 PD, THE NETHERLANDS","31 529 431967, Fax:31 529 434979",Assigned 01/24/2003; End Date 02/06/2006,
243,Optimum Genetics Ltd.,,"4246 Albert Street, Suite 407",Regina,SK,S4S 3R9 CANADA,"306.585.1234, Fax:306.585.7607",Assigned 02/04/2003: End Date 05/14/2007,
244,Xenetica Fontao S.A.,,"Fontao-Esperante, Apartado de Correos 128",Lugo,,27080 SPAIN,"34 982 28 4391, Fax:34 982 28 4626",Assigned 04/10/2003,
245,Centro Tori Chiacchierini Di Chiacchierini Anna,,"Strada Del Richiavo 21/A, Civitella D'Arna",Perugia,,06134 ITALY,"39 075 602726, Fax:39 075 602799",Assigned 05/03/2004,
246,CIA de Muerthe & Moselle UNECO,,"Chemin de Gerardcourt, Laneuveville devant Nancy",Meurthe & Moselle,,54410 FRANCE,"33 383 5102, Fax:33 8353 3754",Assigned 07/20/2004; End Date 05/18/2006,
247,CIA Mayenne UNECO,,406 rue de Normandie,Mayenne,,53100 FRANCE,"33 243 041010, Fax:33 243 048144",Assigned 07/20/2004; End Date 05/18/2006,
248,CIA des Vosges et de la Haute Marne UNECO,,8 route de Gerardmer,Epinal Vosges,,88000 FRANCE,"33 329 81 1590, Fax:33 329 81 1599",Assigned 07/20/2004; End Date 05/18/2006,
249,Viking Genetics,Viking Genetics,PO Box 64,SE 532 21 Skara,,SWEDEN,"46 511 26700, Fax:46 511 26707",Assigned 09/02/2004,
250,"Select Sires, Inc.",Select Sires,11740 U.S. 42 North,Plain City,OH,43064,"614.873.4683, Fax:614.873.6073",Marketing Only 01/01/2017,"Formerly known as Sire Lodge, Inc.; Genervations - assigned 09/17/2003 - end date 12/31/2016"
251,CIA Alsace Genetique/UNECO,,Moulin Goepp,Brumath Bas-Rhin,,67170 FRANCE,"33 388 511166, Fax:33 388 519392",Assigned 09/13/2004; End Date 05/13/2008,
252,Geno AI Center,Geno AI Center,Ekebergveien 54,Stange,,N-2335 NORWAY,47 95 02 0600,Assigned 06/03/2005,
253,GEN'IATEST,,4 rue des Epiceas,Roulans,,25640 FRANCE,"33 3 81 63 28 28, Fax:33 3 81 63 28 29",Assigned 02/14/2006,
254,"Dakota Sire Service, Inc.",,40275 257th Street,Mitchell,SD,57301,"605.996.9100, Fax:605.995.0611",Assigned 10/18/2005; End Date 02/22/2008,
255,"UK Sire Services, LTD",,"Venton Stud, Tigley",Totnes,,TQ9 6DP UNITED KINGDOM,"44 1803 863560, Fax:44 1803 863560",Assigned 01/05/2006,
256,COOPEX,,"61, Chemin des Hoteaux",Brindas,,69126 FRANCE,"33 4 72 38 31 72, Fax:33 4 72 38 31 70",Assigned 02/14/2006,Formerly known as  U. C.EA.R. (Union des Cooperatives d'Elevage Alpes Rhone
257,MIDA TEST,,les Nauzes,Souai,,81580 FRANCE,"33 563 82 52 75, Fax:33 563 75 54 59",Assigned 02/14/2006; End Date 04/14/2020,
258,Cooperative des Eleveurs du Pays Vert,,BP 419,Aurillac,,15004cdx FRANCE,"33 471 46 26 00, Fax:33 471 46 26 03",Assigned 02/14/2006; End Date 04/14/2020,
259,Elgin Breeding Service/West,Elgin Breeding Service,"P.O. Box 696, Highway 48-107 Cora Dutton Road",Capitan,NM,88316,"575.354.2929, Fax:575.354.2942",Assigned 03/03/2006; End Date 12/15/2014,(07/23/1989)
260,"Inguran, LLC dba Sexing Technologies - Ohio",STgenetics,10630 US Highway 42,Marysville,>OH,43040,"614.873.4520, Fax:614.873.4523",Assigned 05/12/2006,Formerly GRI/Sexing Technologies
261,"Inguran, LLC dba Sexing Technologies - Wisconsin",STgenetics,1525 River Road,DeForest,WI,53532,"608.846.8729, Fax:608.846.1453",Assigned 08/21/2006;End Date 09/26/2022,Formerly GRI/Sexing Technologies
262,"Champion Genetics, Inc.",,18035 FM 17,Canton,TX,75103,"903.567.4044, Fax:903.567.6587",Assigned 09/19/2006,
263,FABA Service Cooperative,,PO Box 95,Hollola,,15871 FINLAND,"358 40 311 5000, Fax:358 40 381 2284",Assigned 01/29/2007; End date: 12/08/2010,
264,Trans Ova Genetics,,2938 380th Street,Sioux Center,IA,51250,"712.722.3586, Fax:712.722.3577",Assigned 02/06/2007,
265,Goepel Genetik GmbH,,Am Fockenberg 1,Herleshausen,,D-37293 GERMANY,"49 5654 924988 0, Fax:49 5654 924988 13",Assigned 02/14/2007,
266,Sexing Technologies Benelux,STgenetics,Teugseweg 16-7418AM,Deventer,,THE NETHERLANDS,"31 570 505177, Fax:31 570 505178",Assigned 04/06/2007,
267,"Inguran, LLC dba Sexing Technologies - New York",STgenetics,521 Sheffield Road,Ithaca,NY,14850,"607.272.2590, Fax:607.272.2592",Assigned 07/24/2007;End Date 09/26/2022,
268,Brushy Creek Custom Sires,,18051 FM 1660,Taylor,TX,76574,"512.352.7444, Fax:512.352.5046",Assigned 04/03/2007,
269,Repro Select,,1020 Bailes Dairy Road,Shepherd,TX,77371,"936.628.6280, Fax:936.628.6687",Assigned 04/20/2007,
270,Sexing Technologies Canada,STgenetics,244151 Range Road #283,Conrich,AB,T2M 4L5 CANADA,"403.568.6690, Fax:403.280.1666",Assigned 12/17/2007,
271,World West Sire Services,,25 Winterpast Lane,Joliet,MT,59041,406.628.7510,Assigned 01/17/2008,
272,"Western Sire Services, Inc.",,2038 670th Road,Gordon,NE,69343,"308.282.1707, Fax:308.282.2194",Assigned 06/06/2008,
273,CZ Delta - subsidiary of CRV Holding BV,CRV Holding,Videnska 340,Vestec,,25242 CZECH REPUBLIC,"42 02449 12201, Fax:42 0244 102530",Assigned 06/18/2008,
274,"Inguran, LLC dba Sexing Technologies-Westby",STgenetics,828 South Main Street,Westby,WI,54667,"608.634.2726, Fax:608.634.2722",Assigned 09/22/2008,
275,Northwest Reproduction Center,,4221 Fairview Road,Ellensburg,WA,98926,509.968.3132,Assigned 04/06/2009,
276,Sexing Technologies-France,STgenetics,"SARL Roulans, 10 rue des Epiceas",Roulans,,25640 FRANCE,33 381 840 873,Assigned 04/24/2009,
277,Sexing Technologies-Italy - SRL,STgenetics,Strada Cadiane 179,Modena,,41126 ITALY,,Assigned 06/18/2009,
278,"Inguran, LLC dba Sexing Technologies-Shawano",STgenetics,100 MBC Drive,Shawano,WI,54166,"715.526.5072, Fax 715.526.8033",Assigned 11/13/2009,Formerly ST-Oakfield
279,"Integrated Breeders Service, LLC",,10541 E OSR,Hearne,TX,77859,"979.828.5531, Fax: 979.828.5532",Assigned 06/07/2010,
280,"Inguran, LLC dba Sexing Technologies-Vienna Farms",STgenetics,6938 Hickory Lane,DeForest,WI,53532,"608.846.2765, Fax: 608.846.2785",Assigned 06/03/2014,Formerly assigned to Sexing Technologies-Nebraska
281,James Clark Cooper DVM (Cooper Veterinary Hospital),,5234 Cypress Street,West Monroe,LA,71291,"318.396.8099, Fax: 318.396.5571",Assigned 01/17/2011,
282,"GenSTAR Global, LLC",,2633 State Road 78,Mt. Horeb,WI,53572,"608.845.1502, Fax: 608.845.1522",Assigned 08/09/2011; End Date 01/01/2019,
283,Sexing Technologies-Australia,STgenetics,92 Smith's Road,Glenormiston,Victoria,3260 AUSTRALIA,"61.3.55925265, Fax: 61.3.55932630",Assigned 02/02/2012,
284,"Ingurn LLC, dba STgenetics/Sexing Technologies-Hamilton",STgenetics,605 Ruakura Road,Hamilton,,3286 NEW ZEALAND,64.7.834.2316,Assigned 03/16/2012,
285,Sexing Technologies-France SARL,STgenetics,La Lande de la Rencontre,Saint-Aubin-du-Cormier,,35140 FRANCE,33.644.209.292,Assigned 07/17/2012,
286,STgenetics Canada ULC,STgenetics,"7970 Perth Road 147, R.R.#4",Listowel,ON,N4W 3G9 CANADA,519.291.9916,Assigned 09/07/2012,"Formerly known as Cogent Canada Corp; Foundation Genetics Service, Inc."
287,Sexing Technologies-Germany GmbH,STgenetics,Am Osterfeld 14,"Clooperburg-Bethen, Niedensachsen",,D-49661 GERMANY,49 172 856 5423,Assigned 11/05/2012,
288,ASCOL,,"Centro de Seleccion, Enmesnada, No. 55",Cenero-Gijon,,33392 SPAIN,34 985266676; Fax: 34 985266869,Assigned 12/26/2012,
289,NDJ AI Center,,NO.18-Khorshid Alley-Itally St-Keshavarz Blvd,"Tehran, Tehran",,1415914391 IRAN,98 9123444844; Fax: 98 2188966245,Assigned 03/07/2013,
291,"Inner Mongolia Saikexing Reproductive Biotechnologies Co., Ltd.",,"6F, Mengniu R&D Center, Shengle Economic Zone, Helin County","Hohhot, Inner Mongolia",,011517 P.R.CHINA,+86 (0)471-2524095; Fax: +86 (0)471-7392164,Assigned 03/04/2013,
292,Sexing Technologies-Ireland,STgenetics,TEAGSC Moorepark,"Fermoy, County Cork",,IRELAND,+31 613 950 110,Assigned 04/12/2013,
293,"MultiGen Reproductive Solutions, LLC",,895 Newlands Lane,Stanford,KY,40484,"606.365.2654, Fax: 606.365.2661",Assigned 04/22/2013; End Date 06/25/2019,
294,Bow Valley Genetics Ltd.,,Box 240,Rosemary,AB,T0S 2W0 CANADA,403.362.1933,Assigned 08/02/2013,
295,Alta/AgriCorp,,Unit A328 Zhao Wei Hua Deng Building,Beijing,Chaoyang District,100015 CHINA,+86 10 6435 4066,Assigned 08/14/2013,
296,Canadian Beef Sires,,36142A Hwy. 2 Service Road S.B.,Innisfail,AB,T4G 1T8 CANADA,403-227-1663,Assigned 01/24/2014; End Date 01/01/2015,
297,Bayern Genetik GmbH,,Senator-Gerauer-Str. 19,Poing,BY,85586 GERMANY,403-227-1663,Assigned 02/07/2014,
298,Stredisko Pro Odber Spermatu Nove Homole,,Lipenska 869/17,Ceske Budejovice,,37001 CZECH REPUBLIC,420 724 745 959,Assigned 02/07/2014,
299,Laurel Highlands Animal Health,,876 Stoystown Road,Somerset,PA,15501,"814.445.8971, Fax:814.445.9279",Assigned 04/14/2014,
300,KI de Toekomst B.V.,,Nijenhof 3,Albergen,Overijssel,NL-7665 DJ,+31 6 134 850 36,Assigned 07/11/2014; End Date 02/28/2016,
301,CapGenes,,Agropole - 2135 Route De Chauvigny,Mignaloux Beauvoir,,86550 FRANCE,0549561075,Assigned 07/28/2014,
302,Geno AI Center,Geno AI Center,Storhamargata 44,Hamar,,2317 NORWAY,47 95 02 0600,Assigned 12/03/2014; End Date 02/05/2018,
303,Sexing Technologies-Switzerland,STgenetics,Hauptstrasse 61,Muelligan,Aargau,5243 SWITZERLAND,31 613 950 110,Assigned 12/18/2014,
304,"Inguran, LLC dba Sexing Technologies-Laceyville",STgenetics,10156 State Road 6,Laceyville,PA,18623,979.204.4324,Assigned 4/24/2015; End Date 06/30/2021,
305,"Shandong Ox Livestock Breeding Ltd, CO.",,"No. 159, Gongyebei Road",Ji'nan,Shandong,250131 CHINA,086 531 88960069,Assigned 7/7/2016,
306,"605 Sires, LLC",STgenetics,27666 443rd Ave.,Marion,SD,57043,"605.941.5241, Fax:605.925.7473",Assigned 1/25/2017,
307,Slovenske Biologicke Sluzby a.s.,,Kremnicka 2,Banska Bystrica,Slovakia,97400,+421918343439,Assigned 2/14/2017,
308,"Beijing Sunlon Livestock Development Co., Ltd. Dairy Cattle Center",,Qinghe nanshen Desheng menwai,Chaoyang District,Beijing,100192 CHINA,"86-10-62948029, Fax:86-10-62948011",Assigned 2/1/2017,
309,"Shanghai Dairy Breeding Center Co.,Ltd",,Jiangchang West Road,,Shanghai,200436 CHINA,"+86-21-56481688-8206, Fax:+86-21-56488068",Assigned 2/1/2017,
310,Breed-Rite LLC,,"24650 Highway 60, PO Box 1421",Canyon,TX,79015,"575.693.5641, Fax:806.686.0981",Assigned 3/27/2017,
311,He Nan Dairy Center Quan Zhao Tian,,No. 19 Xing Da Road,Zheng Zhou,He Nan CHINA,450000,"86 135 2680 3413, Fax:86 0371 60212146",Assigned 3/29/2017,
312,ANARB-Associazione Nazionale Allevatori Razza Bruna Italiana,,Loc Ferlina 204,Bussolengo,VR ITALY,37012,"0456760111, Fax:0457156655",Assigned 7/13/2017;End Date 5/16/2018; Reactivated 1/26/2021,
313,Xinjiang Tianshan Animal Husbandry & Biological Breeding Co. Ltd.,,Ashley township nur village,Changji Xinjiang,CHINA,831100,"8618999345205, Fax:869946566616",Assigned 9/27/2017,
314,ABS Global,ABS Global,6908 Pepsi Way,Windsor,WI,53598,608.846.3721,Assigned 8/29/2017,
315,Select Star S.A.,,85 Rte. de Presinge,Puplinge/GE,Geneva,1241 SWITZERLAND,41 22 349 73 73,Assigned 10/31/2017,
316,Custom Genetic Solutions,,40275 257th Street,Mitchell,SD,57301,605.996.7883,Assigned 11/03/2017,
317,Tararua Breeding Centre,,"80541 Masterton Road, RD 3",Woodville,,New Zealand,64 6 3764955,Assigned 2/08/2018; Inactive 3/12/2021,
318,HeBei Pin Yuan Biotechnology Co.,,Shany Fan 7own,Shijiazhuang,HeBei,CHINA,818947120075,Assigned 2/26/2018; End Date 02/26/2020; Re-activated 1/28/2022,
319,Lubny Breeding Company,,Kyivska #A Street,"Lubny, Poltava Region",,Ukraine,380956509194,Assigned 6/19/2018,
320,"PLEMO, a.s.",,Zarybnik 516,Merin 59442,,CZECH,420602739735,Assigned 6/12/2018; End Date 02/04/2020,
321,RECA SA DE CV,,"Carr. Chichimequillas km 23.2, Sta Maria Begona","Queretaro, QRO",76263,MEXICO,524422302777,Assigned 6/27/2018,
322,DMV GenetiQ Services,,162 Route 122,Saint-Germain-de Grantham,QC,J2B 6V2 CANADA,819.639.7517,Assigned 2/04/2019,
323,"Inguran, LLC- dba, STgenetics-Tiffin Sec. Loc.",STgenetics,752 East State Route 18,Tiffin,OH,44883,419.447.6262,Assigned 04/15/2019,
324,Censyra-Leon,,"C/ Paramo s/n, Villaquilambre",Leon,,24193 SPAIN,34 987281750,Assigned 06/24/2019,
325,Zargene Alborz Co.,,"Unit 6, 341 N Jamalzadeh Avenue",Tehran,,IRAN,98 21 66946985; Fax: 98 21 66946986,Assigned 06/24/2019,
